id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tag,instrumentalness,liveliness,lyric_density
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2010,euphoric,0.04,0.72,0.58
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,introspective,0.82,0.18,0.22
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2000,aggressive,0.01,0.35,0.62
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2010,nostalgic,0.88,0.12,0.18
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,92,2010,pumped,0.02,0.64,0.73
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,59,1970,ethereal,0.97,0.08,0.10
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,57,1960,warm,0.74,0.22,0.41
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,76,1980,mysterious,0.46,0.44,0.39
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,66,2020,focused,0.80,0.15,0.20
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,84,2010,uplifting,0.12,0.58,0.64
11,Neon Sprint,City Static,edm,excited,0.95,128,0.74,0.91,0.03,90,2020,euphoric,0.05,0.70,0.69
12,Porchlight Letters,Juniper Hale,folk,calm,0.31,84,0.68,0.44,0.93,61,1990,nostalgic,0.67,0.19,0.55
13,Velvet Afterglow,Blue Meridian,r&b,romantic,0.58,96,0.72,0.77,0.29,73,2000,sensual,0.22,0.33,0.61
14,Iron Horizon,Ash Atlas,metal,intense,0.97,168,0.39,0.51,0.04,87,1990,aggressive,0.00,0.48,0.52
15,Golden Hour Drive,Sierra Vale,country,nostalgic,0.52,102,0.76,0.63,0.57,68,1970,wistful,0.21,0.29,0.66
16,Mirrorball Fever,Luna Ray,disco,joyful,0.88,121,0.90,0.89,0.12,86,1970,euphoric,0.08,0.81,0.74
17,Night Market Pulse,Solar Tide,hip hop,confident,0.69,92,0.67,0.84,0.15,79,2010,confident,0.03,0.60,0.88
18,Quiet Constellations,Aria Vale,classical,peaceful,0.18,58,0.61,0.20,0.98,52,1900,serene,0.99,0.05,0.06
